"CO_NCM","CO_UNID","CO_SH6","CO_PPE","CO_PPI","CO_FAT_AGREG","CO_CUCI_ITEM","CO_CGCE_N3","CO_SIIT","CO_ISIC_CLASSE","CO_EXP_SUBSET","NO_NCM_POR","NO_NCM_ING"
38085910,10,380859,3293,3293,3,5919,322,2000,2021,1499,"Outras mercadorias mencionadas na Nota de subposiçoes 1 do presente Capitulo, apresentadas em formas ou embalagens exclusivamente para uso direto em aplicaçoes domissanitarias","Other commodities mentioned in Note of subheading 1 of htis Chapter, presented in forms or packings exclusively for direct use in sanitary applications"
38085921,10,380859,3293,3293,3,5919,240,2000,2021,1499,"Mercadorias a base de metamidofos (ISO) ou monocrotofos (ISO), apresentadas de outro modo","Commodities based on methamidophos (ISO) or monocrotophos (ISO), presented otherwise"
38085922,10,380859,3293,3293,3,5919,240,2000,2021,1499,"Mercadorias a base de endossulfan (ISO), apresentadas de outro modo","Commodities based on endosulfan (ISO), presented otherwise"
38085923,10,380859,3293,3293,3,5919,322,2000,2021,1499,"Mercadorias a base de alaclor (ISO), apresentadas de outro modo","Commodities based on alachlor (ISO), presented otherwise"
38085929,10,380859,3293,3293,3,5919,240,2000,2021,1499,"Mercadorias a base de outras substancias, apresentadas de outro modo","Commodities based on other substances, presented otherwise"
38249914,10,382499,3990,3639,3,59899,240,2000,2029,1499,"Senduramicina sodica, da fabricaçao da senduramicina","Sodium senduramicina, from the manufacturing process of senduramicina"
38249915,10,382499,3990,3639,3,59899,240,2000,2029,1499,"Maduramicina amonica, em soluçao alcoolica, da fabricaçao da maduramicina","Maduramicin ammonium in alcoholic solution, from the manufacture of maduramicin"
38249919,10,382499,3990,3639,3,59899,240,2000,2029,1499,"Outros produtos intermediarios da fabricaçao de antibioticos ou de vitaminas ou de outros produtos da posiçao 29.36","Other intermediate products for the manufacture of antibiotics or of vitamins or other products of Heading 29.36"
38249921,10,382499,3990,3639,3,59899,240,2000,2029,1499,"Acidos graxos dimerizados; preparaçoes contendo acidos graxos dimerizados","Dimerized fatty acids; preparations containing dimerized fatty acids"
38249922,10,382499,3990,3639,3,59899,240,2000,2029,1499,"Preparaçoes contendo estearoilbenzoilmetano e palmitoilbenzoilmetano; preparaçoes contendo caprilato e caprato de propilenoglicol","Preparations containing stearoyl benzoyl methane and palmitoyl benzoylmethane; preparations containing caprylate and caprate of propylene glycol"
38249923,10,382499,3990,3639,3,59899,240,2000,2029,1499,"Preparaçoes contendo trigliceridios dos acidos caprilico e caprico","Preparations containing triglycerides of caprylic and capric acids"
38249924,10,382499,3990,3639,3,59899,240,2000,2029,1499,"Ésteres de alcoois graxos de C12 a C20 do acido metacrilico e suas misturas; esteres de acidos monocarboxilicos de C10 ramificados com glicerol","Esters of fatty alcohols of C12 to C20 of methacrylic acid and mixtures thereof; esters of monocarboxylic C10 branched with glycerol"
38249925,10,382499,3990,3639,3,59899,240,2000,2029,1499,"Misturas de esteres dimetilicos dos acidos adipico, glutarico e succinico; misturas de acidos dibasicos de C11 e C12; acidos naftenicos, seus sais insolúveis em agua e seus esteres","Mixtures of dimethyl esters of adipic, succinic and glutaric acid; Mixtures of dibasic acids C11 and C12; naphthenic acids, their water-insoluble salts and esters"
38249929,10,382499,3990,3639,3,59899,240,2000,2029,1499,"Outros derivados de acidos graxos industriais; outras misturas e preparaçoes contendo alcoois graxos ou acidos carboxilicos ou derivados destes produtos","Other industrial fatty acid derivatives; Other mixtures and preparations containing fatty alcohols or carboxylic acids or derivatives thereof"
38249931,10,382499,3990,3639,3,59899,240,2000,2029,1499,"Misturas e preparaçoes para borracha ou plastico e outras misturas e preparaçoes para endurecer resinas sinteticas, colas, pinturas ou usos similares, que contenham isocianatos de hexametileno ou outros isocianatos","Mixtures and preparations of a kind used for the manufacture of paints and varnishes (including enamels, lacquers and distempers), containing isocyanates of hexamethylene or other isocyanates"
38249932,10,382499,3990,3639,3,59899,240,2000,2029,1499,"Misturas e preparaçoes para borracha ou plastico e outras misturas e preparaçoes para endurecer resinas sinteticas, colas, pinturas ou usos similares, que contenham aminas graxas de C8 a C22","Mixtures and preparations of a kind used for the manufacture of paints and varnishes (including enamels, lacquers and distempers), which contain fatty amines from C8 to C22"
38249933,10,382499,3990,3639,3,59899,240,2000,2029,1499,"Misturas e preparaçoes para borracha ou plastico e outras misturas e preparaçoes para endurecer resinas sinteticas, colas, pinturas ou usos similares, que contenham polietilenoaminas e dietilenotriaminas, proprias para a coagulaçao do latex","Mixtures and preparations of a kind used for the manufacture of paints and varnishes (including enamels, lacquers and distempers), containing polyethyleneamines and diethylenetriamines, suitable for latex coagulation"
38249934,10,382499,3990,3639,3,59899,240,2000,2029,1499,"Outras misturas contendo polietilenoaminas","Other mixtures containing polyethyleneamines"
38249935,10,382499,3990,3639,3,59899,240,2000,2029,1499,"Misturas de mono-, di- e triisopropanolaminas","Mixtures of mono-, di- and triisopropanolamine"
38249936,10,382499,3990,3639,3,59899,240,2000,2029,1499,"Reticulantes para silicones","Crosslinkers for silicones"
38249939,10,382499,3990,3639,3,59899,240,2000,2029,1499,"Outras misturas e preparaçoes para borracha ou plastico e outras misturas e preparaçoes para endurecer resinas sinteticas, colas, pinturas ou usos similares","Other mixtures and preparations of a kind used for the manufacture of paints and varnishes (including enamels, lacquers and distempers)"
38249941,10,382499,3990,3639,3,59899,240,2000,2029,1499,"Preparaçoes desincrustantes, anticorrosivas ou antioxidantes","Descaling, anticorrosive and antioxidant preparations"
38249942,10,382499,3990,3639,3,59899,240,2000,2029,1499,"Mistura eutetica de difenila e oxido de difenila","Eutectic mixture of diphenyl and diphenyl oxide"
38249943,10,382499,3990,3639,3,59899,240,2000,2029,1499,"Misturas a base de trimetil-3,9-dietildecano","Mixtures based on trimethyl-3,9-diethyldecane"
38249949,10,382499,3990,3639,3,59899,240,2000,2029,1499,"Outras misturas e preparaçoes desincrustantes, anticorrosivas ou antioxidantes; fluidos para a transferencia de calor","Other distilling, anticorrosive or anti-oxidising mixtures and preparations; Fluids for heat transfer"
